Modèle,Kilométrage,Année,Boîte,Carburant,Puissance fiscale,Prix
Mercedes-Benz Classe E Business,8 000 km,2022,Automatique,Essence,9 cv,Sous leasing                    291 800 DT
BMW Série 1,126 000 km,2017,Manuelle,Essence,7 cv,68 000 DT
Toyota Hilux Double Cabine 4*4,3 000 km,2024,Manuelle,Essence,8 cv,231 000 DT
Peugeot 2008 Allure,34 000 km,2022,Automatique,Essence,7 cv,97 000 DT
Mercedes-Benz Classe A AMG,20 000 km,2022,Automatique,Essence,8 cv,158 000 DT
Volkswagen Passat R-Line,60 000 km,2019,Automatique,Essence,8 cv,106 000 DT
Volkswagen Tiguan,60 000 km,2018,Automatique,Essence,7 cv,90 000 DT
Mercedes-Benz Classe C AMG,160 000 km,2014,Automatique,Essence,9 cv,99 000 DT
Chery Tiggo 8 Pro,80 000 km,2022,Automatique,Essence,11 cv,96 000 DT
BYD F3 GLX-I,10 000 km,2022,Manuelle,Essence,7 cv,47 000 DT
Citroën C3 Shine,58 000 km,2019,Manuelle,Essence,5 cv,44 500 DT
Audi Q3 S-line,100 000 km,2017,Automatique,Essence,7 cv,90 000 DT
Volkswagen Golf 8 United,26 000 km,2020,Manuelle,Essence,6 cv,109 000 DT
Peugeot 208,60 000 km,2020,Manuelle,Essence,4 cv,35 000 DT
Audi A5 Cabriolet S-line,120 000 km,2010,Automatique,Essence,10 cv,59 000 DT
Honda Accord,11 000 km,2022,Automatique,Essence,10 cv,135 000 DT
Volkswagen Golf 7,40 000 km,2019,Manuelle,Essence,5 cv,74 000 DT
KIA Sportage,40 000 km,2020,Automatique,Essence,8 cv,119 000 DT
BMW Série 2 Gran Coupé 218i,21 000 km,2022,Automatique,Essence,8 cv,135 000 DT
Fiat Tipo 5 portes,75 000 km,2018,Manuelle,Essence,5 cv,46 000 DT
Haval H6,13 000 km,2022,Automatique,Essence,8 cv,Sous leasing                    150 600 DT
Volkswagen Golf 7 Smartline,140 000 km,2015,Automatique,Essence,5 cv,52 000 DT
Haval H6 Luxury,90 000 km,2019,Automatique,Essence,9 cv,78 000 DT
Chevrolet Cruze,90 000 km,2018,Manuelle,Essence,7 cv,40 000 DT
Volkswagen Golf 7,29 000 km,2019,Manuelle,Essence,6 cv,76 000 DT
Mercedes-Benz Classe E 200,330 000 km,2010,Automatique,Essence,10 cv,51 000 DT
Mercedes-Benz Classe E e220,330 000 km,2011,Automatique,Diesel,9 cv,77 000 DT
Volkswagen Golf 8 R-Line,40 000 km,2021,Automatique,Essence,8 cv,145 000 DT
Mercedes-Benz Classe C AMG,16 000 km,2023,Automatique,Hybride,9 cv,240 000 DT
Dodge RAM Rumble bee,65 000 km,2019,Automatique,Essence,18 cv,Non dédouané                    212 000 DT
Mercedes-Benz CLA,163 000 km,2014,Automatique,Essence,7 cv,81 000 DT
Haval H2 Luxury,40 000 km,2019,Automatique,Essence,9 cv,69 000 DT
Haval H6 Luxury,32 000 km,2019,Automatique,Essence,9 cv,86 000 DT
Mercedes-Benz CLA AMG,30 000 km,2021,Automatique,Essence,7 cv,169 000 DT
Mercedes-Benz Classe A 180d,50 000 km,2019,Automatique,Diesel,6 cv,98 000 DT
Volkswagen Golf 7,64 000 km,2019,Automatique,Essence,6 cv,74 000 DT
Audi A3 Sportback S-Line,70 000 km,2019,Automatique,Essence,7 cv,95 000 DT
Mercedes-Benz Classe C AMG,40 000 km,2022,Automatique,Hybride,9 cv,205 000 DT
DS 7 Crossback Grand Chic,140 000 km,2021,Automatique,Essence,10 cv,105 000 DT
Mercedes-Benz Classe C AMG,50 000 km,2022,Automatique,Hybride,9 cv,Sous leasing                    264 200 DT
Mercedes-Benz CLA 220,240 000 km,2013,Automatique,Diesel,9 cv,79 000 DT
BMW X6 Pack M,270 000 km,2008,Automatique,Diesel,15 cv,110 000 DT
Seat Leon Style,65 000 km,2020,Manuelle,Essence,6 cv,73 000 DT
Citroën Berlingo Utilitaire,170 000 km,2018,Manuelle,Diesel,5 cv,37 500 DT
KIA Sportage,23 000 km,2022,Automatique,Essence,10 cv,143 000 DT
Volkswagen Golf 7,180 000 km,2019,Automatique,Essence,5 cv,64 000 DT
Mercedes-Benz Classe S Executive,170 000 km,2008,Automatique,Essence,19 cv,78 000 DT
Volkswagen Tiguan Confortline,33 000 km,2020,Automatique,Essence,8 cv,128 000 DT
Volkswagen Golf 7 R-Line,130 000 km,2018,Manuelle,Essence,6 cv,80 000 DT
Hyundai Kona,30 000 km,2021,Manuelle,Hybride,6 cv,79 000 DT
Seat Leon FR,70 000 km,2022,Automatique,Essence,8 cv,Sous leasing                    122 800 DT
Hyundai Grand i10,30 000 km,2022,Manuelle,Essence,5 cv,53 000 DT
Peugeot 2008 GT_LINE,30 000 km,2021,Manuelle,Essence,7 cv,92 000 DT
Mercedes-Benz Classe C coupé AMG,40 000 km,2019,Automatique,Essence,9 cv,179 000 DT
KIA Sportage GT-Line,120 000 km,2021,Automatique,Hybride,6 cv,119 000 DT
BMW Série 3 318i,117 000 km,2017,Automatique,Essence,7 cv,88 000 DT
Chery Tiggo 2 Confort,60 000 km,2020,Manuelle,Essence,6 cv,43 500 DT
Haval Jolion,40 000 km,2022,Automatique,Essence,9 cv,87 000 DT
Mercedes-Benz Classe C AMG,40 000 km,2022,Automatique,Hybride,9 cv,208 000 DT
Hyundai Grand i10,54 000 km,2021,Automatique,Essence,5 cv,53 000 DT
Seat Ibiza FR,100 000 km,2020,Automatique,Essence,6 cv,68 000 DT
Mercedes-Benz CLA AMG,20 000 km,2020,Automatique,Essence,7 cv,169 000 DT
Seat Ibiza FR,50 000 km,2020,Manuelle,Essence,6 cv,67 000 DT
Mercedes-Benz GLA AMG,74 000 km,2016,Automatique,Essence,8 cv,113 000 DT
Mercedes-Benz Classe C AMG,170 000 km,2014,Automatique,Essence,9 cv,115 000 DT
Audi Q3 Sportback,10 000 km,2021,Automatique,Essence,8 cv,188 000 DT
Audi Q5,100 000 km,2018,Automatique,Diesel,11 cv,215 000 DT
Volkswagen Golf 8 R-Line,70 000 km,2021,Automatique,Essence,8 cv,125 000 DT
Peugeot 3008 GT-line,260 000 km,2017,Automatique,Essence,9 cv,77 000 DT
Land Rover Range Rover Velar R-Dynamic,100 000 km,2019,Automatique,Diesel,19 cv,Non dédouané                    350 000 DT
Porsche Panamera PLATINUM édition,100 000 km,2014,Automatique,Essence,20 cv,255 000 DT
Land Rover Range Rover Velar R-Dynamic,90 000 km,2020,Automatique,Essence,11 cv,295 000 DT
Dongfeng Forthing T5 EVO,4 000 km,2023,Automatique,Essence,9 cv,Sous leasing                    182 900 DT
Chery Tiggo 3 Confort,75 000 km,2018,Manuelle,Essence,8 cv,47 000 DT
Audi Q3,77 000 km,2017,Automatique,Essence,7 cv,85 000 DT
Renault Kadjar Intens,150 000 km,2018,Automatique,Essence,7 cv,66 000 DT
Volkswagen Golf 8 R-Line,40 000 km,2021,Automatique,Essence,8 cv,155 000 DT
Mercedes-Benz Classe C AMG,35 000 km,2020,Automatique,Hybride,6 cv,205 000 DT
Volkswagen Golf 7 Join,120 000 km,2019,Automatique,Essence,6 cv,80 000 DT
BMW Série 4 Gran Coupé Luxury,100 000 km,2018,Automatique,Essence,7 cv,99 000 DT
Hyundai Tucson,24 000 km,2023,Automatique,Essence,10 cv,147 000 DT
BMW Série 1 Pack sport,70 000 km,2020,Automatique,Essence,7 cv,92 000 DT
Fiat Panda City Cross,20 000 km,2022,Manuelle,Essence,4 cv,45 000 DT
BMW Série 4 Gran Coupé 418 PACK M,110 000 km,2017,Automatique,Essence,7 cv,125 000 DT
Mercedes-Benz Classe E AMG,135 000 km,2011,Automatique,Essence,10 cv,77 000 DT
Mercedes-Benz Classe C AMG,80 000 km,2022,Automatique,Hybride,9 cv,215 000 DT
Dongfeng SX3,30 000 km,2021,Manuelle,Essence,7 cv,65 000 DT
Volkswagen Golf 8 United,16 000 km,2021,Manuelle,Essence,6 cv,128 000 DT
Mercedes-Benz Classe A AMG,15 000 km,2022,Automatique,Essence,8 cv,172 000 DT
Mercedes-Benz Classe C AMG,80 000 km,2019,Automatique,Diesel,9 cv,148 000 DT
MG GS Luxe,115 000 km,2017,Automatique,Essence,9 cv,62 000 DT
Mitsubishi ASX 4WD,55 000 km,2021,Automatique,Essence,9 cv,Sous leasing                    122 800 DT
Land Rover Discovery,130 000 km,2017,Automatique,Diesel,8 cv,126 000 DT
Audi A5 Sportback,70 000 km,2021,Automatique,Essence,8 cv,185 000 DT
BMW Série 7 Individuel,300 000 km,2008,Automatique,Essence,22 cv,45 000 DT
Land Rover Range Rover Sport,160 000 km,2014,Automatique,Diesel,15 cv,245 000 DT
BMW Série 4 Coupé,78 000 km,2017,Automatique,Essence,7 cv,110 000 DT
MG GS Luxe Plus,100 000 km,2017,Automatique,Essence,13 cv,61 000 DT
Land Rover Discovery Sport,94 000 km,2016,Automatique,Diesel,8 cv,118 000 DT
Volkswagen Amarok AWD,180 000 km,2016,Manuelle,Diesel,7 cv,87 000 DT
BMW Série 7 740I FACE-LIFT,220 000 km,2008,Automatique,Essence,22 cv,55 000 DT
Mercedes-Benz Classe E,158 000 km,2020,Automatique,Diesel,8 cv,159 000 DT
Mercedes-Benz GLC,130 000 km,2018,Automatique,Hybride,10 cv,178 500 DT
Volkswagen Golf 7 Confortline,169 000 km,2019,Manuelle,Essence,6 cv,62 500 DT
Porsche Panamera S,104 000 km,2010,Automatique,Essence,30 cv,169 000 DT
Nissan Navara Double Cabine,131 000 km,2018,Manuelle,Diesel,10 cv,76 000 DT
BMW Série 3 Confort Sport Line,160 000 km,2014,Automatique,Essence,7 cv,70 000 DT
Skoda Kamiq Style,33 000 km,2023,Automatique,Essence,6 cv,92 000 DT
Volkswagen Golf 8,100 000 km,2021,Manuelle,Essence,6 cv,83 000 DT
Porsche Cayenne,224 000 km,2007,Automatique,Essence,21 cv,63 500 DT
Mercedes-Benz CLA,240 000 km,2014,Automatique,Diesel,7 cv,77 000 DT
Mercedes-Benz Classe E,194 000 km,2011,Automatique,Diesel,10 cv,58 000 DT
Dacia Duster,190 000 km,2011,Manuelle,Diesel,6 cv,37 500 DT
KIA Sportage,117 000 km,2018,Automatique,Essence,8 cv,76 000 DT
Mazda BT-50,350 000 km,2018,Manuelle,Diesel,9 cv,56 000 DT
Mercedes-Benz Classe A AMG,90 000 km,2019,Automatique,Essence,7 cv,122 000 DT
Peugeot 208,90 000 km,2016,Manuelle,Essence,4 cv,31 500 DT
Fiat Panda City Cross,63 000 km,2022,Manuelle,Essence,4 cv,39 500 DT
Mercedes-Benz Classe C,162 000 km,2020,Automatique,Essence,9 cv,118 000 DT
Suzuki Celerio,44 000 km,2023,Manuelle,Essence,4 cv,39 500 DT
Volkswagen Golf 8,44 000 km,2020,Automatique,Essence,8 cv,97 000 DT
Peugeot 3008 GT,57 000 km,2023,Automatique,Diesel,7 cv,115 000 DT
KIA Cerato 5p,141 000 km,2010,Manuelle,Essence,7 cv,33 000 DT
Seat Leon,134 000 km,2020,Manuelle,Essence,6 cv,62 000 DT
BMW Série 1,126 000 km,2012,Automatique,Essence,9 cv,56 000 DT
Mercedes-Benz Classe C,195 000 km,2009,Automatique,Essence,9 cv,53 000 DT
BMW Série 4 Gran Coupé,101 000 km,2019,Automatique,Essence,7 cv,98 000 DT
Ford Ecosport,107 000 km,2016,Automatique,Essence,6 cv,58 000 DT
Peugeot Partner,117 000 km,2019,Manuelle,Diesel,5 cv,41 500 DT
KIA Picanto,71 000 km,2021,Automatique,Essence,4 cv,49 000 DT
BMW Série 5,143 000 km,2019,Automatique,Essence,10 cv,142 000 DT
Mitsubishi Pajero,175 000 km,2001,Manuelle,Diesel,12 cv,68 000 DT
Audi A5 Coupé,230 000 km,2010,Automatique,Essence,13 cv,49 000 DT
Peugeot 508,115 000 km,2020,Automatique,Essence,9 cv,97 000 DT
Renault Clio,87 000 km,2021,Manuelle,Essence,5 cv,41 000 DT
Volvo S80,178 000 km,2012,Automatique,Diesel,9 cv,47 500 DT
Citroën Berlingo,119 000 km,2020,Manuelle,Diesel,5 cv,69 900 DT
Citroën Berlingo,74 000 km,2020,Manuelle,Diesel,4 cv,48 500 DT
Mercedes-Benz Classe E coupé,160 000 km,2010,Automatique,Essence,19 cv,65 000 DT
Dacia Dokker Van,190 000 km,2018,Manuelle,Diesel,6 cv,25 800 DT
Mercedes-Benz Classe C,41 000 km,2023,Automatique,Hybride,9 cv,220 000 DT
Volkswagen T-roc,85 000 km,2018,Manuelle,Essence,8 cv,95 000 DT
Renault Twingo,194 000 km,2013,Manuelle,Essence,4 cv,25 500 DT
Toyota Agya,20 000 km,2023,Automatique,Essence,5 cv,47 500 DT
Toyota C-HR,106 000 km,2020,Automatique,Essence,6 cv,83 000 DT
Peugeot 3008,104 000 km,2018,Automatique,Diesel,6 cv,98 000 DT
Mercedes-Benz Classe E,197 000 km,2010,Automatique,Essence,11 cv,62 000 DT
Mercedes-Benz Classe A,100 000 km,2020,Automatique,Essence,7 cv,98 000 DT
Audi Q5,369 000 km,2008,Automatique,Diesel,15 cv,70 000 DT
Volkswagen Golf 8 Style,100 000 km,2021,Manuelle,Essence,6 cv,83 000 DT
Ford Ranger,229 000 km,2019,Automatique,Diesel,7 cv,134 000 DT
Volkswagen Golf 8,75 000 km,2020,Manuelle,Essence,7 cv,114 000 DT
Hyundai Creta,76 000 km,2019,Manuelle,Essence,7 cv,74 000 DT
Audi A5 Sportback Ambition Luxe,132 000 km,2015,Automatique,Essence,10 cv,89 000 DT
MG GS,149 000 km,2018,Automatique,Essence,9 cv,51 000 DT
Audi A6,124 000 km,2016,Automatique,Essence,10 cv,102 000 DT
Ford Ecosport,151 000 km,2019,Automatique,Essence,7 cv,55 000 DT
Ford Focus Rs,114 000 km,2018,Manuelle,Essence,6 cv,54 000 DT
Land Rover Range Rover Evoque,43 000 km,2021,Automatique,Hybride,13 cv,220 000 DT
Ssangyong Tivoli,40 000 km,2017,Manuelle,Essence,7 cv,60 000 DT
KIA Sportage GT-Line,124 000 km,2019,Automatique,Diesel,8 cv,97 000 DT
Mercedes-Benz Classe E,15 000 km,2022,Automatique,Essence,9 cv,248 000 DT
Renault Kadjar Intens,141 000 km,2018,Automatique,Essence,7 cv,69 500 DT
Volkswagen Polo,128 000 km,2020,Manuelle,Essence,4 cv,42 800 DT
Mazda BT-50,162 000 km,2015,Manuelle,Diesel,9 cv,65 500 DT
Ford Ranger,223 000 km,2019,Automatique,Diesel,8 cv,155 000 DT
Hyundai Veloster,87 000 km,2019,Automatique,Essence,11 cv,112 000 DT
Mercedes-Benz Classe C,137 000 km,2017,Automatique,Essence,8 cv,115 000 DT
Volkswagen Golf 7,135 000 km,2017,Automatique,Essence,6 cv,59 000 DT
Mercedes-Benz Classe C AMG,29 000 km,2022,Automatique,Hybride,9 cv,228 000 DT
Mercedes-Benz GLA AMG,65 000 km,2016,Automatique,Essence,8 cv,118 000 DT
Volkswagen Amarok Highline Double Cabine,215 000 km,2017,Automatique,Diesel,7 cv,94 000 DT
Land Rover Range Rover Evoque,138 000 km,2016,Automatique,Essence,15 cv,97 000 DT
Hyundai Tucson Hybride,51 000 km,2021,Automatique,Hybride,7 cv,145 000 DT
Mini Countryman,214 000 km,2014,Manuelle,Diesel,6 cv,52 000 DT
Volvo S60,42 000 km,2022,Automatique,Essence,11 cv,172 000 DT
BMW Série 5 Luxury Line,250 000 km,2012,Automatique,Essence,10 cv,68 500 DT
Volkswagen Golf 8 Life,129 000 km,2021,Automatique,Essence,6 cv,83 000 DT
BMW X5 Confort xLine,280 000 km,2007,Automatique,Diesel,15 cv,67 500 DT
Renault Megane Sedan,48 000 km,2019,Manuelle,Essence,7 cv,59 000 DT
Ford Ecosport Titanium,20 000 km,2022,Manuelle,Essence,7 cv,76 000 DT
Mazda CX-9,173 500 km,2010,Automatique,Essence,20 cv,35 000 DT
Volkswagen Golf 8,69 000 km,2021,Manuelle,Essence,5 cv,80 000 DT
Volkswagen Golf 8 Life,69 500 km,2021,Manuelle,Essence,6 cv,83 500 DT
Volkswagen T-roc Confortline,69 000 km,2020,Manuelle,Essence,6 cv,74 000 DT
Fiat Tipo Berline,107 000 km,2020,Manuelle,Essence,6 cv,45 000 DT
Hyundai Creta High Grade,57 000 km,2020,Manuelle,Essence,7 cv,77 000 DT
Toyota Yaris Métallisé,100 000 km,2021,Manuelle,Essence,4 cv,44 500 DT
Renault Clio Dynamique,93 000 km,2021,Manuelle,Essence,5 cv,44 800 DT
Nissan Qashqai Tekna High,90 000 km,2015,Automatique,Essence,6 cv,58 500 DT
Peugeot 5008,730 000 km,2012,Manuelle,Diesel,7 cv,35 000 DT
Volvo XC60 R-Design,165 000 km,2011,Automatique,Essence,13 cv,44 500 DT
Porsche Panamera Platinum edition,107 000 km,2013,Automatique,Essence,20 cv,190 000 DT
Ford Fusion SE,117 000 km,2016,Manuelle,Essence,9 cv,44 000 DT
BMW X2 Lounge,1 500 km,2024,Automatique,Essence,8 cv,183 000 DT
Land Rover Range Rover Evoque R-Dynamic,160 000 km,2016,Automatique,Diesel,10 cv,122 000 DT
Isuzu D-Max Double Cabine V-Cross,95 000 km,2021,Automatique,Diesel,6 cv,180 000 DT
Land Rover Range Rover Evoque R-Dynamic,90 000 km,2019,Automatique,Diesel,8 cv,185 000 DT
Mercedes-Benz Classe E AMG,95 000 km,2018,Automatique,Essence,9 cv,139 000 DT
BMW Série 5 Business Line Plus,65 000 km,2022,Automatique,Essence,10 cv,178 000 DT
Mercedes-Benz Classe A AMG,10 000 km,2023,Automatique,Hybride,8 cv,178 000 DT
BMW Série 4 Gran Coupé,90 000 km,2019,Automatique,Essence,7 cv,135 000 DT
Porsche Cayenne,195 000 km,2012,Automatique,Essence,21 cv,135 000 DT
Mercedes-Benz Classe S,165 000 km,2010,Automatique,Essence,18 cv,112 000 DT
Mercedes-Benz Classe C Avantgarde,160 000 km,2015,Automatique,Essence,8 cv,86 000 DT
Ford Ecosport,85 000 km,2018,Manuelle,Essence,7 cv,58 500 DT
Jeep Wrangler Sahara,100 000 km,2015,Automatique,Diesel,13 cv,220 000 DT
Volkswagen Golf 7 Smartline,180 000 km,2020,Automatique,Essence,6 cv,73 000 DT
Chevrolet Sonic Comfort,87 000 km,2021,Manuelle,Essence,5 cv,39 500 DT
Mercedes-Benz Classe C Avantgarde,210 000 km,2014,Automatique,Essence,8 cv,78 000 DT
Suzuki Swift GL,120 000 km,2021,Manuelle,Essence,5 cv,38 800 DT
Peugeot Partner 1000 Kg,110 000 km,2021,Manuelle,Diesel,5 cv,49 000 DT
Peugeot 206 Look,170 000 km,2006,Manuelle,Essence,4 cv,23 800 DT
BMW X5 Confort xLine,112 000 km,2020,Automatique,Diesel,14 cv,265 000 DT
Audi A4 Business Plus,78 000 km,2018,Automatique,Essence,8 cv,87 000 DT
Dacia Dokker Van,140 000 km,2022,Manuelle,Diesel,5 cv,38 000 DT
Hyundai Tucson Hybride Top Grade,28 000 km,2022,Automatique,Hybride,11 cv,149 000 DT
Renault Clio Dynamique,175 000 km,2015,Manuelle,Essence,5 cv,38 000 DT
Skoda Fabia Active,113 000 km,2021,Manuelle,Essence,4 cv,41 500 DT
Mercedes-Benz GLE Coupé AMG,40 000 km,2017,Automatique,Essence,26 cv,350 000 DT
Renault Clio Dynamique,70 000 km,2015,Manuelle,Essence,5 cv,39 000 DT
Seat Leon,162 000 km,2017,Manuelle,Essence,6 cv,47 000 DT
Nissan Qashqai Tekna,190 000 km,2014,Manuelle,Essence,6 cv,58 000 DT
Peugeot 301 Allure Visio,190 000 km,2013,Manuelle,Essence,5 cv,24 000 DT
Porsche Cayenne,210 000 km,2011,Automatique,Essence,21 cv,130 000 DT
Mercedes-Benz Classe A,66 000 km,2021,Automatique,Hybride,8 cv,135 000 DT
BMW Série 5 Pack M,80 000 km,2018,Automatique,Essence,10 cv,147 500 DT
Volkswagen T-roc,123 000 km,2020,Automatique,Essence,8 cv,98 000 DT
Audi A5 Coupé S-Line,157 000 km,2020,Automatique,Hybride,8 cv,125 000 DT
Volkswagen Golf 7 Confortline,69 000 km,2020,Manuelle,Essence,6 cv,75 000 DT
Renault Megane,158 000 km,2020,Manuelle,Diesel,5 cv,53 500 DT
Volkswagen Passat R-Line,123 000 km,2019,Automatique,Essence,8 cv,89 000 DT
Volkswagen Golf 7 Highline,138 000 km,2020,Manuelle,Diesel,6 cv,79 500 DT
BMW Série 4 Gran Coupé Pack M Sport,97 000 km,2017,Automatique,Essence,7 cv,98 000 DT
Dacia Sandero Stepway,158 000 km,2020,Manuelle,Essence,5 cv,45 000 DT
Mercedes-Benz CLA AMG Edition 1,72 000 km,2021,Automatique,Hybride,8 cv,158 000 DT
Mercedes-Benz Classe C,48 000 km,2023,Automatique,Hybride,9 cv,205 000 DT
Hyundai Tucson Hybride,118 000 km,2021,Manuelle,Hybride,7 cv,95 000 DT
Volkswagen Passat GTE,98 000 km,2021,Automatique,Hybride,8 cv,118 000 DT
Volkswagen Golf 8,98 000 km,2022,Manuelle,Essence,6 cv,79 500 DT
Audi A3,287 000 km,2014,Manuelle,Diesel,6 cv,56 000 DT
Volkswagen Golf 8,87 000 km,2022,Manuelle,Essence,6 cv,79 500 DT
Volkswagen T-Cross Highline,98 000 km,2020,Automatique,Essence,6 cv,79 000 DT
Chevrolet Captiva 7 places,22 000 km,2023,Automatique,Essence,8 cv,79 000 DT
Peugeot Partner,148 000 km,2020,Manuelle,Diesel,5 cv,46 000 DT
Citroën C3 Shine,88 000 km,2021,Manuelle,Diesel,5 cv,49 500 DT
Mercedes-Benz Classe E AMG,98 000 km,2021,Automatique,Hybride,11 cv,228 000 DT
Fiat 500 Dolcevita,78 000 km,2021,Manuelle,Hybride,4 cv,53 500 DT
Fiat Tipo 5 portes,68 000 km,2021,Manuelle,Essence,5 cv,46 500 DT
Suzuki Celerio,0 km,2024,Manuelle,Essence,4 cv,39 500 DT
Peugeot 208,108 000 km,2021,Manuelle,Diesel,5 cv,43 500 DT
Peugeot 3008,148 000 km,2020,Automatique,Diesel,6 cv,75 500 DT
Volkswagen Golf 7,118 000 km,2018,Manuelle,Essence,5 cv,77 000 DT
BMW Série 3 Access Plus Luxury Line,197 000 km,2014,Automatique,Essence,7 cv,63 000 DT
Land Rover Discovery Sport R-Dynamic S,54 500 km,2021,Automatique,Diesel,8 cv,289 000 DT
Isuzu D-Max Double Cabine GT,95 000 km,2017,Manuelle,Diesel,8 cv,123 000 DT
Ford Fiesta Titanium Plus,193 000 km,2016,Manuelle,Essence,5 cv,35 000 DT
Toyota Hilux Double Cabine,15 000 km,2022,Automatique,Diesel,11 cv,230 000 DT
Mercedes-Benz GLE Coupé,54 000 km,2020,Automatique,Diesel,18 cv,420 000 DT
Peugeot Partner Origin Utilitaire,73 000 km,2019,Manuelle,Diesel,5 cv,53 000 DT
Jaguar XF Luxury,240 000 km,2013,Automatique,Essence,15 cv,80 000 DT
Ford Fiesta,169 000 km,2015,Manuelle,Essence,5 cv,31 500 DT
Porsche Cayenne,236 000 km,2012,Automatique,Essence,21 cv,129 900 DT
Peugeot 2008,150 000 km,2017,Manuelle,Essence,5 cv,43 000 DT
Mercedes-Benz Classe A,240 000 km,2015,Automatique,Essence,6 cv,48 000 DT
Hyundai Grand i10 High Grade,130 000 km,2017,Manuelle,Essence,5 cv,34 000 DT
Volkswagen Polo,129 000 km,2002,Manuelle,Essence,4 cv,22 500 DT
Renault Clio Dynamique,161 000 km,2014,Manuelle,Essence,5 cv,37 000 DT
Renault Express,104 000 km,2023,Manuelle,Diesel,5 cv,47 000 DT
Mercedes-Benz Classe A,112 000 km,2014,Manuelle,Essence,7 cv,64 500 DT
BMW Série 1 3p,194 000 km,2012,Manuelle,Essence,6 cv,48 000 DT
Chevrolet Cruze,150 000 km,2018,Manuelle,Essence,7 cv,36 000 DT
Iveco Daily Fourgon,135 000 km,2021,Manuelle,Diesel,10 cv,73 000 DT
Mini 3 portes,130 000 km,2012,Manuelle,Essence,6 cv,39 000 DT
Peugeot Landtrek Simple Cabine,221 000 km,2021,Manuelle,Diesel,6 cv,52 000 DT
Suzuki Swift,58 000 km,2022,Manuelle,Essence,5 cv,43 000 DT
Volkswagen Amarok,80 000 km,2022,Automatique,Diesel,7 cv,150 000 DT
Mercedes-Benz Classe C AMG,137 000 km,2017,Automatique,Essence,8 cv,120 000 DT
Audi A3,225 000 km,2011,Manuelle,Essence,6 cv,44 000 DT
Porsche Cayenne,231 000 km,2007,Automatique,Essence,21 cv,45 000 DT
Citroën C3 Shine,69 000 km,2019,Manuelle,Essence,4 cv,44 000 DT
Land Rover Defender 110,70 000 km,2015,Manuelle,Diesel,10 cv,220 000 DT
Hyundai Tucson Top Grade,79 000 km,2022,Automatique,Essence,10 cv,115 500 DT
Audi A6,124 000 km,2015,Automatique,Essence,10 cv,93 500 DT
KIA Sportage GT-Line,78 000 km,2021,Automatique,Essence,11 cv,109 000 DT
Suzuki Celerio,31 000 km,2022,Manuelle,Essence,4 cv,38 000 DT
Mazda 3 sedan,462 000 km,2017,Manuelle,Essence,6 cv,44 000 DT
Nissan Juke Nismo-R,158 000 km,2014,Automatique,Essence,12 cv,85 000 DT
Audi Q5,230 000 km,2014,Manuelle,Essence,14 cv,59 000 DT
Porsche Cayenne,90 000 km,2012,Automatique,Essence,21 cv,155 000 DT
Mini 3 portes,134 000 km,2014,Manuelle,Essence,4 cv,43 900 DT
Mahindra KUV 100 K8,39 000 km,2022,Manuelle,Essence,5 cv,32 900 DT
Mercedes-Benz Classe E,210 000 km,2014,Automatique,Essence,10 cv,85 000 DT
KIA Sportage GT-Line,173 000 km,2019,Automatique,Diesel,8 cv,92 000 DT
Volkswagen Passat,106 000 km,2017,Manuelle,Essence,7 cv,69 900 DT
Audi A3 Berline,70 000 km,2018,Automatique,Essence,6 cv,79 900 DT
Land Rover Discovery,193 000 km,2019,Automatique,Diesel,8 cv,130 000 DT
Suzuki Swift,122 000 km,2017,Manuelle,Essence,5 cv,34 000 DT
Nissan Navara,22 000 km,2022,Automatique,Diesel,8 cv,210 000 DT
Haval H6 Luxury,106 000 km,2021,Automatique,Essence,9 cv,77 000 DT
Toyota Yaris,80 000 km,2019,Manuelle,Essence,4 cv,42 900 DT
Nissan Navara,284 000 km,2003,Manuelle,Diesel,13 cv,39 000 DT
Audi A3,217 000 km,2013,Manuelle,Diesel,5 cv,53 000 DT
Peugeot 208,63 000 km,2021,Manuelle,Essence,4 cv,43 500 DT
Peugeot 308,184 000 km,2017,Manuelle,Essence,5 cv,38 000 DT
Land Rover Defender 110,97 000 km,2020,Automatique,Diesel,12 cv,340 000 DT
Mercedes-Benz CLA,53 000 km,2021,Automatique,Hybride,8 cv,159 000 DT
Mercedes-Benz Classe C,190 000 km,2014,Automatique,Essence,8 cv,88 500 DT
KIA Sportage,95 000 km,2020,Automatique,Essence,8 cv,85 000 DT
Jeep Compass,216 000 km,2012,Manuelle,Diesel,9 cv,49 500 DT
Fiat Fiorino,61 000 km,2022,Manuelle,Diesel,5 cv,41 500 DT
Seat Arona,28 000 km,2021,Manuelle,Essence,6 cv,69 500 DT
Volkswagen Tiguan,124 000 km,2018,Manuelle,Diesel,8 cv,108 000 DT
Honda Accord,111 000 km,2019,Automatique,Essence,10 cv,80 000 DT
Chevrolet Cruze,96 000 km,2019,Manuelle,Essence,7 cv,41 500 DT
Volkswagen Golf 7,60 000 km,2020,Automatique,Essence,6 cv,73 900 DT
Renault Laguna Coupé,111 000 km,2013,Automatique,Essence,11 cv,50 000 DT
Cupra Leon,28 000 km,2023,Automatique,Essence,8 cv,120 000 DT
Citroën C4 Cactus,148 000 km,2016,Manuelle,Essence,5 cv,37 000 DT
BMW Série 5,295 000 km,2007,Automatique,Diesel,9 cv,43 000 DT
