Modèle,Kilométrage,Année,Boîte,Carburant,Puissance fiscale,Prix
BMW Série 3 coupé Kit M///,152 000 km,2012,Manuelle,Essence,10 cv,74 000 DT
Hyundai Tucson Hybride,42 000 km,2022,Automatique,Hybride,7 cv,127 000 DT
Citroën C5,240 000 km,2009,Manuelle,Diesel,6 cv,22 500 DT
Volkswagen Golf 7,120 000 km,2020,Automatique,Essence,6 cv,72 000 DT
MG ZS Luxury,140 000 km,2019,Automatique,Essence,7 cv,61 500 DT
KIA Sportage GT-Line,100 000 km,2019,Manuelle,Diesel,7 cv,94 000 DT
Mercedes-Benz Classe C,93 000 km,2016,Automatique,Diesel,6 cv,117 000 DT
Fiat 500,59 000 km,2020,Automatique,Essence,4 cv,45 000 DT
Chery Tiggo 3X,48 000 km,2022,Automatique,Essence,6 cv,52 000 DT
KIA Carens GT-Line,213 000 km,2014,Automatique,Diesel,8 cv,45 000 DT
Mercedes-Benz Classe C coupé AMG,125 000 km,2016,Automatique,Essence,9 cv,130 000 DT
Mercedes-Benz GLC Coupé,1 000 km,2024,Automatique,Essence,11 cv,375 000 DT
Smart ForFour,148 000 km,2015,Manuelle,Essence,4 cv,34 500 DT
Renault Velsatis,265 000 km,2003,Manuelle,Diesel,7 cv,18 000 DT
Audi A3,287 000 km,2014,Manuelle,Diesel,6 cv,57 000 DT
Volkswagen Golf 8,40 000 km,2023,Automatique,Essence,8 cv,139 000 DT
Jeep Wrangler 4.0L,200 000 km,1989,Manuelle,Essence,8 cv,72 000 DT
Volkswagen T-Cross Highline,98 000 km,2020,Automatique,Essence,6 cv,81 000 DT
Renault Kwid Populaire,19 000 km,2022,Manuelle,Essence,4 cv,38 500 DT
Mahindra KUV 100 K8,74 000 km,2019,Manuelle,Essence,5 cv,33 500 DT
Volkswagen T-Cross,98 000 km,2021,Manuelle,Essence,6 cv,71 000 DT
Ford Focus,149 000 km,2016,Manuelle,Essence,5 cv,36 500 DT
Audi Q5 2.0L,255 000 km,2009,Automatique,Essence,13 cv,47 000 DT
Fiat Tipo 5 portes,68 000 km,2021,Manuelle,Essence,5 cv,49 500 DT
BMW X2 S drive,74 000 km,2020,Automatique,Essence,8 cv,132 000 DT
Peugeot Partner,148 000 km,2020,Manuelle,Diesel,5 cv,46 000 DT
BMW Série 5 520,182 000 km,2014,Automatique,Essence,9 cv,75 000 DT
Volkswagen Golf 7 Highline,88 000 km,2020,Manuelle,Essence,6 cv,69 000 DT
Peugeot 208,88 000 km,2021,Manuelle,Diesel,5 cv,46 500 DT
Citroën C3 Shine,88 000 km,2021,Manuelle,Diesel,5 cv,51 000 DT
Seat Ibiza,98 000 km,2019,Manuelle,Essence,4 cv,51 000 DT
Toyota C-HR,80 000 km,2020,Automatique,Essence,6 cv,75 000 DT
Renault Clio,138 000 km,2020,Manuelle,Diesel,4 cv,49 500 DT
BMW X1 1.6L,126 000 km,2016,Automatique,Essence,7 cv,85 000 DT
Jeep Compass,44 000 km,2020,Automatique,Essence,11 cv,135 000 DT
Mahindra KUV 100 K6+,47 000 km,2021,Manuelle,Essence,5 cv,32 500 DT
Fiat 500 Dolcevita,78 000 km,2021,Manuelle,Hybride,4 cv,55 000 DT
Citroën Berlingo Utilitaire 1.6L,31 000 km,2023,Manuelle,Diesel,5 cv,58 500 DT
Mercedes-Benz GLC Plug-in Hybride AMG,46 000 km,2021,Automatique,Hybride,10 cv,285 000 DT
Nissan Juke,160 000 km,2015,Automatique,Essence,7 cv,39 500 DT
DS 3 Chic,122 000 km,2018,Automatique,Essence,6 cv,35 500 DT
BMW Série 1 M,40 000 km,2022,Automatique,Essence,7 cv,138 500 DT
Mercedes-Benz GLA 250e Kit Amg,60 000 km,2021,Automatique,Hybride,9 cv,179 000 DT
Haval H6 Luxury,60 000 km,2021,Automatique,Essence,9 cv,81 000 DT
Mercedes-Benz Classe S Executive,75 000 km,2018,Automatique,Diesel,17 cv,380 000 DT
KIA Sportage,111 111 km,2019,Automatique,Essence,8 cv,83 500 DT
Mercedes-Benz Classe A Business,190 000 km,2013,Manuelle,Essence,6 cv,48 000 DT
Mercedes-Benz Classe A 250e Kit Amg,34 000 km,2021,Automatique,Hybride,8 cv,139 000 DT
Toyota Agya BVA,17 000 km,2023,Automatique,Essence,5 cv,49 500 DT
Mercedes-Benz Classe A Style,113 000 km,2015,Automatique,Essence,6 cv,69 000 DT
Volkswagen Golf 7 GTI,129 000 km,2018,Automatique,Essence,6 cv,60 000 DT
BMW X4 Pack M,65 000 km,2020,Automatique,Diesel,10 cv,285 000 DT
Mahindra KUV 100 K8,0 km,2024,Manuelle,Essence,5 cv,42 900 DT
Volkswagen Golf 7 BVA,200 000 km,2020,Automatique,Essence,5 cv,63 000 DT
Seat Leon Style Plus,188 000 km,2015,Automatique,Essence,6 cv,49 000 DT
BMW Série 3 318i Pack sport,89 000 km,2019,Automatique,Essence,7 cv,89 000 DT
Haval H6,80 000 km,2022,Automatique,Essence,8 cv,98 000 DT
Audi A3 Berline BVA,17 000 km,2020,Manuelle,Essence,6 cv,88 000 DT
Jeep Wrangler Sahara,115 000 km,2018,Automatique,Essence,20 cv,225 000 DT
Peugeot 3008 Allure,38 000 km,2019,Automatique,Essence,7 cv,88 000 DT
Mercedes-Benz Classe C Avantgarde,27 000 km,2022,Automatique,Essence,8 cv,159 000 DT
Peugeot 3008 Allure,75 000 km,2020,Automatique,Essence,6 cv,75 000 DT
BMW X4,140 000 km,2018,Automatique,Diesel,10 cv,139 000 DT
Volkswagen Polo R-Line,70 000 km,2020,Manuelle,Essence,4 cv,65 500 DT
BMW Série 1 Pack Sport M,165 000 km,2016,Automatique,Essence,7 cv,75 000 DT
Hyundai Tucson Top Grade,40 000 km,2022,Automatique,Essence,10 cv,147 000 DT
Volkswagen Golf 7 Join,96 000 km,2019,Manuelle,Essence,6 cv,73 500 DT
Lada 4x4 Urban,58 000 km,2020,Manuelle,Essence,7 cv,41 000 DT
Mercedes-Benz Classe X,68 000 km,2020,Automatique,Diesel,8 cv,205 000 DT
Seat Arona Xperience,47 000 km,2022,Automatique,Essence,6 cv,81 000 DT
Toyota Corolla Dynamic,85 000 km,2020,Automatique,Essence,6 cv,69 000 DT
Fiat 500X Pop Star,60 000 km,2018,Automatique,Essence,7 cv,65 000 DT
Land Rover Discovery,170 000 km,2015,Automatique,Essence,15 cv,115 000 DT
Haval Jolion,40 000 km,2021,Automatique,Essence,9 cv,88 000 DT
Toyota C-HR,130 000 km,2018,Automatique,Essence,6 cv,73 000 DT
Nissan Juke Tekna,6 000 km,2024,Automatique,Essence,6 cv,92 500 DT
Mercedes-Benz Classe C AMG,20 000 km,2023,Automatique,Essence,9 cv,Sous leasing                    255 100 DT
Mercedes-Benz CLA Kit Amg 200,150 000 km,2020,Manuelle,Essence,9 cv,129 000 DT
Seat Ibiza Xcellence,68 000 km,2021,Manuelle,Essence,6 cv,62 000 DT
KIA Rio 5p SX,70 000 km,2020,Manuelle,Essence,5 cv,57 500 DT
Chery Tiggo 7 Pro,0 km,2024,Automatique,Essence,9 cv,101 000 DT
Audi Q3 BVA,3 000 km,2023,Automatique,Essence,9 cv,165 000 DT
Peugeot 408 GT,10 000 km,2024,Automatique,Essence,11 cv,155 000 DT
BMW Série 6 Face Lift,190 000 km,2009,Automatique,Essence,17 cv,85 000 DT
Land Rover Range Rover Sport HSE Dynamic,300 000 km,2016,Automatique,Diesel,19 cv,189 000 DT
KIA Rio 5p GT-Line,70 000 km,2021,Manuelle,Essence,5 cv,62 000 DT
KIA Sportage GT-Line,15 000 km,2024,Automatique,Hybride,7 cv,188 000 DT
Mahindra Pick-up SC,120 000 km,2021,Manuelle,Diesel,7 cv,39 000 DT
Peugeot 3008,112 000 km,2020,Automatique,Essence,7 cv,69 000 DT
KIA Rio 5p GT-Line,9 000 km,2023,Manuelle,Essence,5 cv,73 000 DT
Mercedes-Benz Classe C Pack AMG Pack night,120 000 km,2019,Automatique,Hybride,10 cv,152 000 DT
Peugeot 3008 GT GT-line,125 000 km,2020,Automatique,Essence,6 cv,89 000 DT
MG HS Luxury,87 000 km,2020,Automatique,Essence,9 cv,77 900 DT
Mercedes-Benz GLA AMG,90 000 km,2021,Automatique,Essence,9 cv,173 000 DT
BMW Série 4 Coupé 420i,180 000 km,2015,Automatique,Essence,10 cv,87 000 DT
Chery Tiggo 7 Pro,40 000 km,2022,Automatique,Essence,9 cv,88 000 DT
Mercedes-Benz CLA Kit AMG,124 000 km,2014,Automatique,Essence,9 cv,83 000 DT
Citroën C3 Shine,88 000 km,2018,Manuelle,Essence,4 cv,37 500 DT
Mercedes-Benz Classe C coupé AMG,200 000 km,2012,Automatique,Essence,9 cv,63 000 DT
Renault Clio 4,120 000 km,2021,Manuelle,Essence,5 cv,45 000 DT
Mini 3 portes One,200 000 km,2009,Manuelle,Essence,5 cv,29 000 DT
Hyundai Tucson High Grade,19 000 km,2023,Automatique,Essence,9 cv,129 000 DT
Nissan Juke Tekna,53 000 km,2021,Automatique,Essence,6 cv,87 000 DT
Jeep Renegade,88 000 km,2021,Automatique,Essence,8 cv,88 000 DT
Mercedes-Benz Classe C AMG,120 000 km,2019,Automatique,Hybride,10 cv,152 000 DT
Ford Mondeo Hybride,34 000 km,2020,Automatique,Hybride,7 cv,109 000 DT
Land Rover Range Rover Evoque,145 000 km,2018,Automatique,Diesel,8 cv,120 000 DT
Volkswagen Passat,160 000 km,2016,Manuelle,Essence,6 cv,59 000 DT
Haval H6,16 000 km,2022,Automatique,Essence,8 cv,117 000 DT
Haval H6 Luxury,55 000 km,2021,Automatique,Essence,9 cv,85 000 DT
Volkswagen Golf 8 1.4,40 000 km,2022,Automatique,Essence,6 cv,105 000 DT
Jaguar F-Pace R_Dynamic,165 000 km,2017,Automatique,Diesel,10 cv,179 000 DT
Renault Kadjar,140 000 km,2018,Automatique,Essence,7 cv,70 000 DT
Toyota Corolla,24 000 km,2022,Automatique,Essence,6 cv,79 000 DT
Peugeot 308,128 000 km,2020,Manuelle,Essence,6 cv,47 000 DT
Mercedes-Benz Classe C coupé AMG,130 000 km,2018,Automatique,Essence,8 cv,167 000 DT
Citroën C3 Shine,45 000 km,2020,Manuelle,Essence,4 cv,47 500 DT
Ford Focus Titanium,200 000 km,2015,Manuelle,Essence,6 cv,40 000 DT
Porsche Panamera,82 000 km,2011,Automatique,Essence,20 cv,178 000 DT
KIA Seltos,130 000 km,2021,Automatique,Essence,8 cv,89 000 DT
Seat Ibiza FR,40 000 km,2023,Automatique,Essence,6 cv,81 000 DT
Alfa Romeo Giulietta,37 000 km,2019,Automatique,Essence,7 cv,77 000 DT
Land Rover Discovery R-DYNAMIC,87 000 km,2020,Automatique,Diesel,8 cv,235 000 DT
Volkswagen Golf 7 Confortline,190 000 km,2013,Automatique,Essence,6 cv,49 000 DT
Renault Megane 4 Diesel,125 000 km,2020,Manuelle,Diesel,5 cv,64 500 DT
KIA Rio 5p GT-Line,60 000 km,2021,Manuelle,Essence,5 cv,65 000 DT
Fiat Fiorino,120 000 km,2021,Manuelle,Diesel,5 cv,35 000 DT
Dacia Duster Techroad,35 000 km,2020,Manuelle,Essence,6 cv,75 000 DT
BMW Série 5 530e Xdrive Pack m,50 000 km,2021,Automatique,Hybride,10 cv,278 000 DT
BMW Série 4 Gran Coupé 418 Luxury,133 000 km,2016,Automatique,Essence,7 cv,97 000 DT
Volkswagen Passat R-Line DSG,40 000 km,2022,Automatique,Essence,7 cv,125 000 DT
Toyota Hilux Double Cabine Gr Sport,7 000 km,2024,Manuelle,Diesel,9 cv,290 000 DT
Toyota C-HR,55 000 km,2022,Automatique,Essence,6 cv,91 000 DT
Audi A5 Sportback S-Line,120 000 km,2019,Automatique,Essence,8 cv,109 000 DT
Peugeot 2008,100 000 km,2021,Manuelle,Diesel,6 cv,80 000 DT
KIA Rio 5p,85 000 km,2022,Manuelle,Essence,5 cv,Sous leasing                    59 700 DT
Honda CR-V,67 000 km,2018,Automatique,Essence,11 cv,91 000 DT
Audi Q5 S-line,40 000 km,2021,Automatique,Diesel,11 cv,295 000 DT
KIA Sportage Hybride,114 000 km,2021,Automatique,Hybride,7 cv,107 000 DT
KIA Sportage GT-Line,19 000 km,2021,Manuelle,Diesel,7 cv,128 000 DT
Dacia Duster Techroad,34 000 km,2020,Manuelle,Essence,6 cv,76 000 DT
Mercedes-Benz Classe S,3 000 km,2022,Automatique,Hybride,16 cv,630 000 DT
BMW X5 Hybride Xdrive E45,19 000 km,2021,Automatique,Hybride,15 cv,455 000 DT
Hyundai Tucson Hybride Xcellence,120 000 km,2022,Automatique,Hybride,10 cv,138 000 DT
BMW Série 1 I Pack Sport,200 000 km,2019,Automatique,Essence,7 cv,75 000 DT
KIA Sportage GT-Line,140 000 km,2017,Automatique,Diesel,10 cv,105 000 DT
Mercedes-Benz Classe C AMG,50 000 km,2023,Automatique,Essence,9 cv,235 000 DT
Jaguar XE,140 000 km,2017,Automatique,Diesel,9 cv,120 000 DT
Peugeot Rifter,95 000 km,2020,Manuelle,Diesel,7 cv,72 000 DT
BMW Série 7 740LI,98 000 km,2010,Automatique,Essence,23 cv,110 000 DT
Peugeot Rifter 5 places,95 000 km,2020,Manuelle,Diesel,7 cv,72 000 DT
Land Rover Range Rover Evoque,50 000 km,2019,Automatique,Diesel,9 cv,178 000 DT
Ford Mondeo Hybride,32 000 km,2020,Automatique,Hybride,7 cv,115 000 DT
KIA Rio 5p GT-Line,64 000 km,2021,Manuelle,Essence,5 cv,64 000 DT
Mercedes-Benz GLC AMG,115 000 km,2017,Automatique,Essence,12 cv,169 000 DT
Mini 5 portes One,78 000 km,2016,Manuelle,Essence,6 cv,57 000 DT
Citroën C3 Shine,28 000 km,2020,Manuelle,Essence,4 cv,48 000 DT
Audi A3 Berline,50 000 km,2019,Automatique,Essence,6 cv,85 000 DT
KIA Sportage,127 000 km,2019,Automatique,Essence,8 cv,83 500 DT
Mercedes-Benz GLA AMG,12 000 km,2023,Automatique,Essence,11 cv,Non dédouané                    235 000 DT
Audi Q3,95 000 km,2017,Automatique,Essence,7 cv,95 000 DT
Mercedes-Benz GLB 200 d,111 000 km,2021,Automatique,Diesel,9 cv,210 000 DT
Audi A4 Face_lift,143 000 km,2016,Automatique,Essence,7 cv,58 000 DT
Land Rover Range Rover Evoque Face_lift,170 000 km,2016,Automatique,Essence,15 cv,95 000 DT
BMW Série 1 Pack M,40 000 km,2020,Automatique,Essence,7 cv,135 000 DT
Land Rover Range Rover Evoque Hybride,40 000 km,2019,Automatique,Diesel,9 cv,195 000 DT
Haval H6 Luxury,120 000 km,2020,Automatique,Essence,9 cv,79 000 DT
Iveco Daily Simple Cabine,40 000 km,2022,Manuelle,Diesel,10 cv,105 000 DT
Land Rover Discovery Sport,128 000 km,2017,Automatique,Diesel,8 cv,128 000 DT
KIA Sportage Hybride,140 000 km,2020,Automatique,Hybride,7 cv,98 000 DT
Hyundai Tucson Hybride,80 000 km,2021,Automatique,Hybride,7 cv,137 000 DT
Audi Q5 QUATTRO 40 TDI,170 000 km,2019,Automatique,Diesel,12 cv,165 000 DT
Fiat Panda City Cross,52 000 km,2020,Manuelle,Essence,4 cv,43 500 DT
Ford Ranger Raptor,100 000 km,2022,Automatique,Diesel,7 cv,228 000 DT
BMW Série 4 Coupé Pack M,140 000 km,2021,Automatique,Essence,7 cv,130 000 DT
Mercedes-Benz Classe B,100 000 km,2014,Manuelle,Essence,7 cv,48 000 DT
Volkswagen Golf 8 1.5L,80 000 km,2021,Manuelle,Essence,7 cv,93 000 DT
Land Rover Range Rover Evoque Hybride,60 000 km,2019,Automatique,Diesel,8 cv,210 000 DT
Renault Kadjar,70 000 km,2019,Manuelle,Essence,7 cv,68 000 DT
Mazda 3 Sky active,103 000 km,2017,Manuelle,Essence,6 cv,56 000 DT
Audi Q8 S_Line,16 000 km,2021,Automatique,Essence,23 cv,398 000 DT
Mercedes-Benz Classe C coupé AMG,50 000 km,2019,Automatique,Essence,9 cv,173 000 DT
MG ZS,35 000 km,2022,Manuelle,Essence,7 cv,Sous leasing                    78 000 DT
Suzuki Baleno,160 000 km,2017,Automatique,Essence,5 cv,40 000 DT
KIA Sportage,69 000 km,2019,Automatique,Essence,8 cv,95 000 DT
Ford Kuga,100 000 km,2017,Manuelle,Essence,8 cv,69 000 DT
Mercedes-Benz CLS AMG,160 000 km,2011,Automatique,Diesel,11 cv,119 000 DT
Mercedes-Benz GLA 180 Pack AMG,40 000 km,2022,Automatique,Essence,7 cv,185 000 DT
Seat Arona,26 000 km,2021,Manuelle,Essence,6 cv,73 500 DT
Toyota Corolla,90 000 km,2021,Automatique,Essence,6 cv,71 000 DT
Haval H6 Luxury,115 000 km,2020,Automatique,Essence,9 cv,79 000 DT
Skoda Superb Ambassador,30 000 km,2021,Automatique,Essence,8 cv,125 000 DT
MG 6,22 000 km,2021,Automatique,Essence,8 cv,79 000 DT
Mercedes-Benz GLC Coupé AMG,190 000 km,2017,Automatique,Diesel,9 cv,189 000 DT
Mercedes-Benz Classe C 180 elegance,170 000 km,2016,Automatique,Essence,8 cv,89 000 DT
Mercedes-Benz GLC Coupé AMG,69 000 km,2020,Automatique,Hybride,12 cv,278 000 DT
Mercedes-Benz Classe E 180,90 000 km,2018,Automatique,Essence,9 cv,135 000 DT
Ssangyong Actyon Sports,200 000 km,2017,Manuelle,Diesel,7 cv,42 000 DT
Citroën DS3,138 000 km,2012,Automatique,Essence,6 cv,35 000 DT
Nissan Qashqai,147 000 km,2011,Automatique,Essence,9 cv,43 000 DT
BMW Série 5 Confort Luxury,200 000 km,2015,Automatique,Essence,10 cv,90 000 DT
Volkswagen Passat R-Line,100 000 km,2019,Automatique,Essence,8 cv,101 000 DT
Land Rover Discovery Sport,160 000 km,2017,Automatique,Diesel,8 cv,125 000 DT
Citroën C3 Shine,90 000 km,2019,Manuelle,Essence,4 cv,44 500 DT
Volkswagen Amarok,370 000 km,2012,Manuelle,Diesel,7 cv,49 000 DT
Mercedes-Benz Classe E Business,8 000 km,2022,Automatique,Essence,9 cv,Sous leasing                    291 800 DT
Mini 3 portes one,140 000 km,2013,Manuelle,Essence,4 cv,37 000 DT
BMW Série 1,126 000 km,2017,Manuelle,Essence,7 cv,68 000 DT
Toyota Hilux Double Cabine 4*4,3 000 km,2024,Manuelle,Essence,8 cv,231 000 DT
Peugeot 2008 Allure,34 000 km,2022,Automatique,Essence,7 cv,97 000 DT
Mercedes-Benz Classe A AMG,20 000 km,2022,Automatique,Essence,8 cv,158 000 DT
Volkswagen Passat R-Line,60 000 km,2019,Automatique,Essence,8 cv,106 000 DT
Volkswagen Tiguan,60 000 km,2018,Automatique,Essence,7 cv,90 000 DT
Mercedes-Benz Classe C AMG,160 000 km,2014,Automatique,Essence,9 cv,99 000 DT
Chery Tiggo 8 Pro,80 000 km,2022,Automatique,Essence,11 cv,96 000 DT
BYD F3,10 000 km,2022,Manuelle,Essence,7 cv,47 000 DT
Citroën C3 Shine,58 000 km,2019,Manuelle,Essence,5 cv,44 500 DT
BMW Série 4 Coupé 420i Pack M,160 000 km,2015,Automatique,Essence,10 cv,107 000 DT
Audi Q3 S-line,100 000 km,2017,Automatique,Essence,7 cv,90 000 DT
Volkswagen Golf 8 United,26 000 km,2020,Manuelle,Essence,6 cv,109 000 DT
Peugeot 208,60 000 km,2020,Manuelle,Essence,4 cv,35 000 DT
Audi A5 Cabriolet S-line,120 000 km,2010,Automatique,Essence,10 cv,59 000 DT
Honda Accord,11 000 km,2022,Automatique,Essence,10 cv,135 000 DT
Volkswagen Golf 7,40 000 km,2019,Manuelle,Essence,5 cv,74 000 DT
KIA Sportage,40 000 km,2020,Automatique,Essence,8 cv,119 000 DT
BMW Série 2 Gran Coupé 218i,21 000 km,2022,Automatique,Essence,8 cv,135 000 DT
Fiat Tipo 5 portes,75 000 km,2018,Manuelle,Essence,5 cv,46 000 DT
Haval H6,13 000 km,2022,Automatique,Essence,8 cv,Sous leasing                    150 600 DT
Volkswagen Golf 7 Smartline,140 000 km,2015,Automatique,Essence,5 cv,52 000 DT
Haval H6 Luxury,90 000 km,2019,Automatique,Essence,9 cv,78 000 DT
Chevrolet Cruze,90 000 km,2018,Manuelle,Essence,7 cv,40 000 DT
Volkswagen Golf 7,29 000 km,2019,Manuelle,Essence,6 cv,76 000 DT
Mercedes-Benz Classe E 200,330 000 km,2010,Automatique,Essence,10 cv,51 000 DT
Mercedes-Benz Classe E e220,330 000 km,2011,Automatique,Diesel,9 cv,77 000 DT
Volkswagen Golf 8 R-Line,40 000 km,2021,Automatique,Essence,8 cv,145 000 DT
Mercedes-Benz Classe C AMG,16 000 km,2023,Automatique,Essence,9 cv,240 000 DT
Dodge RAM Rumble bee,65 000 km,2019,Automatique,Essence,18 cv,Non dédouané                    212 000 DT
Mercedes-Benz CLA,163 000 km,2014,Automatique,Essence,7 cv,81 000 DT
Haval H2 Luxury,40 000 km,2019,Automatique,Essence,9 cv,69 000 DT
Haval H6 Luxury,32 000 km,2019,Automatique,Essence,9 cv,86 000 DT
Mercedes-Benz CLA AMG,30 000 km,2021,Automatique,Essence,7 cv,169 000 DT
Mercedes-Benz Classe A 180d,50 000 km,2019,Automatique,Diesel,6 cv,98 000 DT
Volkswagen Golf 7,64 000 km,2019,Automatique,Essence,6 cv,74 000 DT
Audi A3 Sportback S-Line,70 000 km,2019,Automatique,Essence,7 cv,95 000 DT
Mercedes-Benz Classe C AMG,40 000 km,2022,Automatique,Essence,9 cv,205 000 DT
DS 7 Crossback Grand Chic,140 000 km,2021,Automatique,Essence,10 cv,105 000 DT
Mercedes-Benz Classe C AMG,50 000 km,2022,Automatique,Essence,9 cv,Sous leasing                    264 200 DT
Volkswagen Golf 7 Join,70 000 km,2018,Automatique,Essence,6 cv,84 000 DT
Mercedes-Benz CLA 220,240 000 km,2013,Automatique,Diesel,9 cv,79 000 DT
BMW X6 Pack M,270 000 km,2008,Automatique,Diesel,15 cv,110 000 DT
Audi A5 Cabriolet S-line,120 000 km,2010,Automatique,Essence,10 cv,59 000 DT
Seat Leon Style,65 000 km,2020,Manuelle,Essence,6 cv,73 000 DT
Citroën Berlingo Utilitaire,170 000 km,2018,Manuelle,Diesel,5 cv,37 500 DT
KIA Sportage,23 000 km,2022,Automatique,Essence,10 cv,143 000 DT
Volkswagen Golf 7,180 000 km,2019,Automatique,Essence,5 cv,64 000 DT
Mercedes-Benz Classe S Executive,170 000 km,2008,Automatique,Essence,19 cv,78 000 DT
Volkswagen Tiguan Confortline,33 000 km,2020,Automatique,Essence,8 cv,128 000 DT
Volkswagen Golf 7 R-Line,130 000 km,2018,Manuelle,Essence,6 cv,80 000 DT
Hyundai Kona,30 000 km,2021,Manuelle,Hybride,6 cv,79 000 DT
Seat Leon FR,70 000 km,2022,Automatique,Essence,8 cv,Sous leasing                    122 800 DT
Hyundai Grand i10,30 000 km,2022,Manuelle,Essence,5 cv,53 000 DT
Peugeot 2008 GT_LINE,30 000 km,2021,Manuelle,Essence,7 cv,92 000 DT
Mercedes-Benz Classe C coupé AMG,40 000 km,2019,Automatique,Essence,9 cv,179 000 DT
KIA Sportage GT-Line,120 000 km,2021,Automatique,Hybride,6 cv,119 000 DT
BMW Série 3 318i,117 000 km,2017,Automatique,Essence,7 cv,88 000 DT
Chery Tiggo 2 Confort,60 000 km,2020,Manuelle,Essence,6 cv,43 500 DT
Haval Jolion,40 000 km,2022,Automatique,Essence,9 cv,87 000 DT
Mercedes-Benz Classe C AMG,40 000 km,2022,Automatique,Essence,9 cv,208 000 DT
Hyundai Grand i10,54 000 km,2021,Automatique,Essence,5 cv,53 000 DT
Seat Ibiza FR,100 000 km,2020,Automatique,Essence,6 cv,68 000 DT
Mercedes-Benz CLA AMG,20 000 km,2020,Automatique,Essence,7 cv,169 000 DT
Seat Ibiza FR,50 000 km,2020,Manuelle,Essence,6 cv,67 000 DT
Volkswagen T-roc,87 000 km,2020,Manuelle,Essence,6 cv,85 000 DT
Mercedes-Benz GLA AMG,74 000 km,2016,Automatique,Essence,8 cv,113 000 DT
Mercedes-Benz Classe C AMG,170 000 km,2014,Automatique,Essence,9 cv,115 000 DT
Audi Q3 Sportback,10 000 km,2021,Automatique,Essence,8 cv,188 000 DT
Audi Q5,100 000 km,2018,Automatique,Diesel,11 cv,215 000 DT
Volkswagen Golf 8 R-Line,70 000 km,2021,Automatique,Essence,8 cv,125 000 DT
Peugeot 3008 GT-line,260 000 km,2017,Automatique,Essence,9 cv,77 000 DT
Land Rover Range Rover Velar R-Dynamic,100 000 km,2019,Automatique,Diesel,19 cv,Non dédouané                    350 000 DT
Porsche Panamera PLATINUM édition,100 000 km,2014,Automatique,Essence,20 cv,255 000 DT
Land Rover Range Rover Velar R-Dynamic,90 000 km,2020,Automatique,Essence,11 cv,295 000 DT
Dongfeng Forthing T5 EVO,4 000 km,2023,Automatique,Essence,9 cv,Sous leasing                    182 900 DT
Chery Tiggo 3 Confort,75 000 km,2018,Manuelle,Essence,8 cv,47 000 DT
Audi Q3,77 000 km,2017,Automatique,Essence,7 cv,85 000 DT
Renault Kadjar Intens,150 000 km,2018,Automatique,Essence,7 cv,66 000 DT
Volkswagen Golf 8 R-Line,40 000 km,2021,Automatique,Essence,8 cv,155 000 DT
Mercedes-Benz Classe C AMG,35 000 km,2020,Automatique,Hybride,6 cv,205 000 DT
Volkswagen Golf 7 Join,120 000 km,2019,Automatique,Essence,6 cv,80 000 DT
BMW Série 4 Gran Coupé Luxury,100 000 km,2018,Automatique,Essence,7 cv,99 000 DT
Hyundai Tucson,24 000 km,2023,Automatique,Essence,10 cv,161 000 DT
BMW Série 1 Pack sport,70 000 km,2020,Automatique,Essence,7 cv,92 000 DT
Fiat Panda City Cross,20 000 km,2022,Manuelle,Essence,4 cv,45 000 DT
BMW Série 4 Gran Coupé 418 PACK M,110 000 km,2017,Automatique,Essence,7 cv,125 000 DT
Mercedes-Benz Classe E AMG,135 000 km,2011,Automatique,Essence,10 cv,77 000 DT
Mercedes-Benz Classe C AMG,80 000 km,2022,Automatique,Essence,9 cv,215 000 DT
Dongfeng SX3,30 000 km,2021,Manuelle,Essence,7 cv,65 000 DT
Volkswagen Golf 8 United,16 000 km,2021,Manuelle,Essence,6 cv,128 000 DT
Mercedes-Benz Classe A AMG,15 000 km,2022,Automatique,Essence,8 cv,172 000 DT
Mercedes-Benz Classe C AMG,80 000 km,2019,Automatique,Diesel,9 cv,148 000 DT
MG GS Luxe,115 000 km,2017,Automatique,Essence,9 cv,62 000 DT
Mercedes-Benz Classe C AMG,164 000 km,2014,Automatique,Essence,9 cv,89 000 DT
Mitsubishi ASX 4WD,55 000 km,2021,Automatique,Essence,9 cv,Sous leasing                    122 800 DT
Land Rover Discovery,130 000 km,2017,Automatique,Diesel,8 cv,126 000 DT
Audi A5 Sportback,70 000 km,2021,Automatique,Essence,8 cv,185 000 DT
BMW Série 7 Individuel,300 000 km,2008,Automatique,Essence,22 cv,45 000 DT
Land Rover Range Rover Sport,160 000 km,2014,Automatique,Diesel,15 cv,245 000 DT
BMW Série 4 Coupé,78 000 km,2017,Automatique,Essence,7 cv,110 000 DT
MG GS Luxe Plus,100 000 km,2017,Automatique,Essence,13 cv,61 000 DT
Land Rover Discovery Sport,94 000 km,2016,Automatique,Diesel,8 cv,118 000 DT
Volkswagen Amarok AWD,180 000 km,2016,Manuelle,Diesel,7 cv,87 000 DT
BMW Série 7 740I FACE-LIFT,220 000 km,2008,Automatique,Essence,22 cv,55 000 DT
Mercedes-Benz Classe C,235 000 km,2013,Manuelle,Essence,9 cv,55 500 DT
Ford Fusion 1.6,90 000 km,2017,Manuelle,Essence,9 cv,55 500 DT
Mercedes-Benz Classe E,132 000 km,2017,Automatique,Essence,9 cv,132 000 DT
